row_id,order_id ,created_at,item_id ,quantity ,cust_id ,delivery ,add_id 
1,ORD_00001,11:44:56,2,8,251,1,251
2,ORD_00001,11:44:56,17,7,251,1,251
3,ORD_00001,11:44:56,6,3,251,1,251
4,ORD_00001,11:44:56,6,1,251,1,251
5,ORD_00001,11:44:56,10,6,251,1,251
6,ORD_00002,12:43:00,23,4,75,1,75
7,ORD_00002,12:43:00,29,4,75,1,75
8,ORD_00002,12:43:00,9,2,75,1,75
9,ORD_00002,12:43:00,30,6,75,1,75
10,ORD_00003,12:03:27,33,6,128,0,128
11,ORD_00003,12:03:27,37,6,128,0,128
12,ORD_00003,12:03:27,4,6,128,0,128
13,ORD_00004,20:33:41,22,6,116,1,116
14,ORD_00004,20:33:41,28,1,116,1,116
15,ORD_00004,20:33:41,29,5,116,1,116
16,ORD_00005,11:36:00,36,8,61,1,61
17,ORD_00005,11:36:00,1,3,61,1,61
18,ORD_00006,22:20:10,19,7,61,0,61
19,ORD_00006,22:20:10,20,10,61,0,61
20,ORD_00007,18:49:00,25,1,292,1,292
21,ORD_00008,10:30:20,12,8,127,1,127
22,ORD_00008,10:30:20,24,9,127,1,127
23,ORD_00009,21:56:27,21,5,40,0,40
24,ORD_00009,21:56:27,10,5,40,0,40
25,ORD_00010,22:32:33,13,7,77,0,77
26,ORD_00010,22:32:33,7,3,77,0,77
27,ORD_00010,22:32:33,32,3,77,0,77
28,ORD_00010,22:32:33,1,9,77,0,77
29,ORD_00010,22:32:33,16,10,77,0,77
30,ORD_00011,11:51:25,36,10,165,1,165
31,ORD_00011,11:51:25,2,5,165,1,165
32,ORD_00011,11:51:25,12,6,165,1,165
33,ORD_00011,11:51:25,6,5,165,1,165
34,ORD_00012,22:54:55,25,1,129,1,129
35,ORD_00012,22:54:55,22,4,129,1,129
36,ORD_00012,22:54:55,28,3,129,1,129
37,ORD_00013,22:35:32,18,8,123,0,123
38,ORD_00013,22:35:32,5,6,123,0,123
39,ORD_00013,22:35:32,16,10,123,0,123
40,ORD_00014,19:57:59,4,1,220,1,220
